charaNum,talkingChara,talks,KeyWord
2,,おーい、聞こえるー？,
2,,……よし、聞こえてそうだね！！,
2,,私の名前は、めいどちゃん！ みーんなを笑顔にする“ヴィーナス”だよ！,
2,,今日もいっちょ、おまじない、かけちゃうぞぉ～！,
2,,あなたのハートに──…,
2,,毛が生えろぉぉぉぉぉ！！！！！！！！,
2,,──これで今日も、強く生きられます！,
2,,ようこそ、私の電波空間へ。,
2,,私はね、甘いマスクで、甘い言葉をかけて、甘い食べ物を運ぶのが仕事！,
2,,でもさ──甘いもの、苦手なんだよね,
2,,口の中に、だるさが残るから。ずっと微笑んでるのも、けっこう疲れるんだ～,
2,,デスサイダーパフェ？ よく知ってるじゃん！ あれ、私の発案だよ！,
2,,“辛いがコンセプトのパフェ”って、逆にめちゃくちゃおいしそうじゃない？,
2,,やっぱり刺激的なほうが、おもしろいでしょ！,
2,,平凡に戻るなんて、ごめんだよ。考えただけでめまいがする,めまい
2,,あ、そうだ！ あとでお店にも遊びに来てよ！ とっておき、作っておくからさ,
2,,私ね、“美しいもの”が好きなの,
2,,夜景とか、絵とか、星座とか──,
2,,とくに神話が好きでさ。“美の象徴、ヴィーナス”って響き、最高だよね,
2,,愛をもって人と接したいし、強くて美しい自分でもありたい。,
2,,──あ、話変わるんだけどさ。最近ちょっと文章とか、言葉の勉強もしてるんだよね,
2,,前にさ。”ある先生”が言ってたの。,
2,,言葉は使い方ひとつで毒にも薬にもなるって,
2,,その人、昔からずーっと“言葉”のことを考えてるような人でさ。,
2,,ちょっと堅いけど、けっこうロマンチストだったりするんだ～,
2,,国語の先生なんだけど、たぶん今もどこかで“誰かに伝える方法”を探してると思うよ,
2,,こんなことも言ってたかな、”最初の言葉より、最後の余韻が大事”って,最後の余韻
2,,なにか伝えるときは、いつも”型”から入ってたな。五，七，五とか,五，七，五
2,,なんかね、奇数で韻を踏むと、聞いてるほうも心地いいんだってさ。,
2,,ふふ、もしかしたら……,
2,,──あ、ごめん。なんか語りすぎちゃった！もう時間かも,
2,,でも、これが今の私。,
2,,あのころより、少しだけ変われた“私”の話,
2,,──それじゃ、バイバイ。……おまじない、効くといいな！,
