charaNum,talkingChara,talks,KeyWord
2,,ねえ、ちょっとだけ思い出話、してもいい？,
2,,私ね、幼稚園のときの演劇会で、魔法使いの役をやったの。,
2,,緊張してたけど、終わったあとに先生とか親とかが、,
2,,『すごくよかったよ！』ってたくさん褒めてくれて……それが、すっごくうれしかったの,
2,,魔法が使えたわけじゃないけど、“なりきる”ってことが楽しくてしかたなかった。,
2,,私じゃない何かになれるって、すごい！って思ったんだよね,
2,,でもね、役者になりたいって思ったことは一度もないの。,
2,,なんか、舞台に立つよりも、誰かの日常の中に“なにか”として存在することのほうが、,
2,,私には合ってる気がして,
2,,だからこの仕事をしているの。,
2,,アイドルじゃなくて、ヒーローでもなくて、,
2,,“甘やかす存在”っていう住民になりたかったのかもしれない,
2,,（あのとき──私も、同じようなことを思ってた気がする）,
2,,……ふふ、変な話かな？,
2,,でもね、そう思った理由って、なんか昔の私を知ってるあなたには、ちょっとだけ伝わる気がするんだ,
1,,（....??）,
2,,そういった意味で、この職業はほんとに神チョイスだったと思う,
2,,私、まじ天才。,
2,,この衣装だって、もはや武装だもん。鎧！戦闘力爆上がり！,
2,,この私は、大丈夫。負けない気がするの。,
2,,ちょっと、ジメジメしたお話になっちゃったね。,
2,,──そろそろ時間かも。,
2,,次は、せんせーにバトンタッチだ！,
2,,じゃあ....バイバイ。,
