charaNum,talkingChara,talks,KeyWord
3,,私には、心に残った言葉があります,
3,,“自分に自信があるときは、期待なんて言葉を出しちゃいけない。,
3,,期待っていうのは、諦めから出る言葉なんだよ”,
3,,……これは、小説の中の言葉です。,
3,,少し冷たいようでいて、本質を突いていると思いました,
3,,“期待”って、便利なようで、案外重たい言葉だと思うんです,
3,,人に任せるとき、“お願いね”という意味で使うこともある。,
3,,でも、ときには“自分にはもうできないから、あとは頼む”という意味でも使ってしまう,
3,,だからこれは、理屈のように聞こえて──実は“敗北の告白”なんじゃないかと思ったんです,
3,,“もう無理だ”と、自分で線を引いて、その先を誰かに預けてしまう。,
3,,そういう“期待”には、ちょっとしたあきらめが混じっている,
3,,かつての私も、同じようでした,
3,,結果が出ないと、“まあ、最初から無理だったんだ”って言い訳して、,
3,,誰かが助けてくれるのをどこかで待っていた,
3,,でも、この言葉を知ってから、少しずつ変わりました,
3,,期待しない。けれど信じる。,
3,,他人ではなく、“自分”という存在を──,
1,,（……それって、私も同じだ）,
3,,……もしそうなら、もう一度、思い出してほしい,
3,,あなたのなかに、何かが残っているのなら──それは、きっと,
3,,──おや。もう、私の出番も終わりのようです,
3,,……不思議ですね。あなたと話すと、自分のことを少しだけ好きになれる気がします,
3,,さあ、あの子のもとへ戻ってください。合言葉は、”はじまり”,はじまり
3,,彼女の声を、ちゃんと最後まで聞いてあげてくださいね,
3,,じゃあ、バイバイ。,
