charaNum,talkingChara,talks,KeyWord
2,,ねね,
2,, もしかして私って、ほんとはあなただったりして？ って,
2,,いやいや！ちがうちがう、怖い話じゃないからね！？,
2,,ホラー要素、ゼロ！ 100%ふんわりスイート系ですぅ～！,
2,,でもさ、そう思うと……ちょっと不思議な気持ちになるの,
2,,なんでこんなにあなたと話してると落ち着くのか、,
2,,なんでこんなに心の奥がくすぐったいのか、,
2,,ぜーんぶ、つながってる気がしてきてさ,
2,,ちょっと、ジメジメしたお話になっちゃったね。,
2,,あなたは、なにかなりたいものはある？,
1,,（.....）,
2,,私はね、やっぱり“本物の魔法使い”になりたいな,
2,,大きな杖に、大きな帽子。夢は大きくってね！──憧れるでしょ？,夢
2,,どんな魔法使いかって？　私はね、“ヒーラー”かな,
2,,誰かを癒やすために、そっと魔法をかけたいんだ,
2,,敵をバッタバッタ倒すのは……なんかちょっと違う,
2,,でも、癒やすことだって、自分のためかもしれないし──,
2,,……結局、どっちもエゴ、なのかな,
2,,うーん。難しいや,
2,,でも、そういうの考えるのって、ちょっと楽しいよね,
2,,あ、やば。オチつけたくなる病きたーーー,
2,,じゃあ最後に──おまじない、かけとくね？,
2,,あなたのハートに……,
2,,毛が生えろぉぉぉぉぉ！！！！！,
2,,はい！これで今日も生きていけるね◎,
2,,……あ、でもね,
2,,ホントはさ。私が一番、魔法かけてもらいたかったのかもしれない,
2,,だからさ。話してくれて、ありがとう,
2,,よーし、そろそろバトンタッチの時間かな,
2,,次はせんせーか,
2,,ふふ、せんせーって意外とかまってちゃんだからさ～。孤独ムーブしてるけど実は、,
2,,寂しがり屋なところあるからよろしくね。,
2,,たぶん待ってるよ。私の出番は、終わりかな。,
2,,ふわふわであま～い魔法を、心に届けてあげるからっ！バイバイ。,
